cpu_util,load_avg,temp,run_queue_length,frequency
1,5,57850,3,1500
1,21,56750,4,1500
0,21,58400,3,1600
1,21,60050,3,1600
1,21,58950,3,1600
1,21,57300,3,1600
1,35,57300,3,1600
1,35,58950,3,1600
1,35,59500,4,1600
0,35,57850,3,1700
1,35,58400,3,1700
1,48,58950,3,1700
1,48,57850,3,1700
1,48,58950,3,1700
1,48,58950,3,1700
0,48,58400,3,1800
1,60,58950,3,1800
1,60,59500,3,1800
1,60,60050,3,1800
1,60,60050,3,1800
1,60,60050,3,1800
1,80,59500,3,1800
0,80,58950,3,1900
1,80,59500,3,1900
1,80,60050,3,1900
1,80,59500,3,1900
1,89,60050,3,1900
1,89,60050,3,1900
0,89,60050,3,2100
1,89,60600,3,2100
1,89,60600,3,2100
1,98,60600,4,2100
1,98,61700,3,2100
1,98,60600,3,2100
0,98,61700,3,2200
1,98,62250,3,2200
1,105,62250,3,2200
1,105,62250,3,2200
1,105,62250,3,2200
1,105,62250,3,2200
1,105,62800,3,2200
0,114,62250,3,2300
1,114,62800,4,2300
1,114,63350,3,2300
1,114,63350,3,2300
1,114,62800,3,2300
1,121,63900,3,2300
0,121,62250,3,2400
1,121,63900,3,2400
1,121,62800,3,2400
1,121,64450,3,2400
1,127,63900,3,2400
1,127,63900,3,2400
1,127,62800,3,2400
1,127,62800,3,2400
1,127,63900,3,2400
1,133,63900,3,2400
1,133,64450,3,2400
1,133,65000,3,2400
1,133,64450,3,2400
1,133,63350,3,2400
1,138,64450,3,2400
1,138,63350,3,2400
1,138,64450,3,2400
1,138,64450,3,2400
1,138,65000,3,2400
1,143,63900,3,2400
1,143,65000,3,2400
1,143,64450,3,2400
1,143,65000,3,2400
1,143,64450,3,2400
1,148,64450,3,2400
1,148,66650,3,2400
1,148,64450,3,2400
1,148,63900,3,2400
1,148,65000,3,2400
1,152,64450,3,2400
1,152,65000,3,2400
1,152,65000,3,2400
1,152,63900,3,2400
1,152,66100,3,2400
1,156,65550,4,2400
1,156,66100,4,2400
1,156,65550,3,2400
1,156,65000,3,2400
1,156,65550,3,2400
1,160,66100,3,2400
1,160,65000,3,2400
1,160,65000,3,2400
1,160,66100,3,2400
1,160,65550,3,2400
1,163,65550,3,2400
1,163,66650,3,2400
1,163,65550,3,2400
1,163,66100,3,2400
1,163,66100,3,2400
1,166,65550,3,2400
1,166,66100,3,2400
1,166,66100,3,2400
1,166,66100,3,2400
1,166,66650,3,2400
1,169,66100,3,2400
1,169,66100,4,2400
1,169,65550,3,2400
1,169,65000,3,2400
1,169,67200,3,2400
1,171,66100,3,2400
1,171,66650,3,2400
1,171,66650,3,2400
1,171,66100,3,2400
1,171,66650,3,2400
1,173,67200,3,2400
1,173,67200,3,2400
1,173,67200,3,2400
1,173,67200,3,2400
1,173,66650,3,2400
1,176,67750,3,2400
1,176,66100,3,2400
