cpu_util,load_avg,temp,run_queue_length,frequency
0,62,58950,5,1500
0,62,60050,6,1600
1,62,60600,5,1600
1,89,60050,5,1600
1,89,59500,5,1600
1,89,60600,5,1600
1,89,59500,5,1600
1,89,60600,5,1600
0,114,61150,5,1700
1,114,60050,5,1700
1,114,60050,5,1700
1,114,62800,5,1700
1,114,62250,5,1700
1,137,61150,5,1700
0,137,60600,5,1800
1,137,63350,5,1800
1,137,62250,6,1800
1,137,62800,5,1800
1,158,61700,5,1800
1,158,62800,5,1800
1,158,61700,5,1800
0,158,61700,5,1900
1,158,62800,5,1900
1,178,62800,5,1900
1,178,63900,5,1900
1,178,63900,5,1900
1,178,63900,5,1900
0,178,63350,5,2100
1,195,63900,5,2100
1,195,65000,5,2100
1,195,65000,5,2100
1,195,66100,5,2100
1,195,65550,5,2100
0,211,66100,5,2200
1,211,64450,5,2200
1,211,66100,5,2200
1,211,66100,5,2200
1,211,66650,5,2200
1,227,65550,5,2200
1,227,65550,5,2200
0,227,67200,5,2300
1,227,66650,5,2300
1,227,67750,5,2300
1,241,66650,5,2300
1,241,66650,5,2300
1,241,67750,5,2300
0,241,68300,5,2400
1,241,68300,5,2400
1,254,67750,5,2400
1,254,67750,5,2400
1,254,68300,5,2400
1,254,68850,5,2400
1,254,68300,5,2400
1,265,68850,5,2400
1,265,68850,5,2400
1,265,69400,5,2400
1,265,69400,5,2400
1,265,69400,5,2400
1,276,70500,5,2400
1,276,70500,5,2400
1,276,69400,5,2400
1,276,70500,5,2400
1,276,69950,5,2400
1,286,70500,5,2400
1,286,70500,5,2400
1,286,70500,5,2400
1,286,70500,5,2400
1,286,71050,5,2400
1,295,69400,5,2400
1,295,70500,5,2400
1,295,71050,5,2400
1,295,70500,5,2400
1,295,69950,5,2400
1,312,69950,5,2400
1,312,71600,5,2400
1,312,69400,5,2400
1,312,69950,5,2400
1,312,69950,5,2400
1,319,70500,5,2400
1,319,70500,5,2400
1,319,72150,5,2400
1,319,70500,5,2400
1,319,71600,5,2400
1,325,72150,5,2400
1,325,71600,5,2400
1,325,71050,5,2400
1,325,71600,5,2400
1,325,71050,5,2400
1,331,72150,5,2400
1,331,72150,5,2400
1,331,71600,5,2400
1,331,72150,5,2400
1,331,72700,5,2400
1,337,73250,5,2400
1,337,72700,5,2400
1,337,73800,5,2400
1,337,72700,5,2400
1,337,72700,5,2400
1,342,73250,5,2400
1,342,71600,5,2400
1,342,71050,5,2400
1,342,73250,5,2400
1,342,73250,5,2400
1,347,73250,5,2400
1,347,73800,5,2400
1,347,73250,5,2400
1,347,72700,5,2400
